mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
kuaiditaikuai	快___递_太__快___
shoujihaimeiyong	手___机_还__没__用___
xiangzhengpin	像____正____品__
xihuan	喜_欢___
yijingmailelianggele	已_经___买__了_两____个_了_
songjiejieyige	送___姐__姐__一_个_
henhao	很__好__
geilaomamaide	给__老__妈_买__的_
taxihuan	她_喜_欢___
shoujiwaiguanpiaoliang	手___机_外__观___漂___亮____
xitongliuchangbuka	系_统___流__畅____不_卡_
yonglejitianhaikeyi	用___了_几_天___还__可_以_
fahuokuai	发_货__快___
yonglejitian	用___了_几_天___
shoujihaikeyi	手___机_还__可_以_
xiangsudiledian	像____素_低_了_点___
shoujitingbucuode	手___机_挺___不_错__的_
meiyouxiaci	没__有__瑕__疵_
kuaidiyehenkuai	快___递_也_很__快___
ai	哎_
shoujiouerhuikaping	手___机_偶_儿_会__卡_屏___
ganghuamotiehaosonglaide	钢___化__膜_贴__好__送___来__的_
meitiehao	没__贴__好__
buzhidaozenmeshuo	不_知__道__怎__么_说___
ganjuemaidebukaixin	感__觉__买__的_不_开__心__
kuaidifeichangman	快___递_非__常____慢__
shunfengzoule3tianwoyeshizuile	顺___丰___走__了_3天___我_也_是__醉__了_
songdeliwubumanyi	送___的_礼_物_不_满__意_
bierendousongchongdianbaohebijibenshenmede	别__人__都__送___充____电___宝__和_笔_记_本__什___么_的_
womendoumeiyou	我_们__都__没__有__
bushufu	不_舒__服_
feichangbumanyideyicigouwu	非__常____不_满__意_的_一_次_购__物_
haihaoba	还__好__吧_
geilaomamaide	给__老__妈_买__的_
dengwohuijiakankanshiwuzaizhuipingba	等___我_回__家__看__看__实__物_再__追___评___吧_
teyiyongleyiduanshijiancailaipinglun	特_意_用___了_一_段___时__间___才__来__评___论__
zhengtilaishuoshoujihaishibucuode	整____体_来__说___手___机_还__是__不_错__的_
gefangmianxingnengdouzaiwodeyuqinei	各_方___面___性___能___都__在__我_的_预_期_内__
haoping	好__评___
mamahenxihuan	妈_妈_很__喜_欢___
dianhennaiyong	电___很__耐__用___
xiangsuyebucuo	像____素_也_不_错__
shoujishoudaole	手___机_收___到__了_
feichanghao	非__常____好__
bucuo	不_错__
haisonglexielipin	还__送___了_些__礼_品__
ganghaoxuyao	刚___好__需_要__
haihao	还__好__
wozhishibijiaozhichiguochan	我_只__是__比_较___支__持__国__产___
mianqiangaiaiguo	勉___强____爱_爱_国__
henmanyi	很__满__意_
shoujitinghaoyongde	手___机_挺___好__用___的_
chongdianyetingkuaide	充____电___也_挺___快___的_
henhao	很__好__
tingxihuande	挺___喜_欢___的_
shoujiganggangdao	手___机_刚___刚___到__
nadaohenkaixin	拿_到__很__开__心__
feichangbangdeyibushouji	非__常____棒___的_一_部_手___机_
xiangsutaihaole	像____素_太__好__了_
wanyouxihenliuchang	玩__游__戏_很__流__畅____
yidianchidundoumeiyou	一_点___迟__钝__都__没__有__
zhideyongyou	值__得_拥___有__
feichangwanmei	非__常____完__美__
taihaole	太__好__了_
teyiyonglejitiancailaipinglun	特_意_用___了_几_天___才__来__评___论__
henhaoyong	很__好__用___
benlaijiushimaigeimamayongde	本__来__就__是__买__给__妈_妈_用___的_
jiagebuguiyegouqiangda	价__格_不_贵__也_够__强____大_
laokehukehaisongwobeibao	老__客_户_可_还__送___我_背__包__
xiawupaide	下__午_拍__的_
wuliusantianjiudao	物_流__三__天___就__到__
goucheng	够__诚____
manyi	满__意_
qitahaikeyi	其_他_还__可_以_
shoujihaixing	手___机_还__行___
jiushiyikaijishijiangenbenbudui	就__是__一_开__机_时__间___根__本__不_对__
kailewangyeshibunengzidongduishi	开__了_网___也_是__不_能___自_动___对__时__
zhinengshoudongxiugaile	只__能___手___动___修__改__了_
shengyinhaoxiao	声____音__好__小___
doushuoshifanxinji	都__说___是__翻__新__机_
diyicizaiwangshangmaishoujijiuzhegeqingkuang	第_一_次_在__网___上____买__手___机_就__这__个_情___况____
xinsai	心__塞__
diyicishiyongzhekuan	第_一_次_使__用___这__款___
henpiaoliangdeshouji	很__漂___亮____的_手___机_
dianjiahaisongzipaiganheshounabao	店___家__还__送___自_拍__杆__和_收___纳_包__
shoujiyoubushizhengbande	手___机_有__不_是__正____版__的_
shoudaolimiannaozhongdoumeiyouzai0diande	收___到__里_面___闹__钟____都__没__有__在__0点___的_
suanleba	算___了_吧_
couhezheyong	凑__合_着__用___
shouhuojitianle	收___货__几_天___了_
shoujifeichangdehao	手___机_非__常____的_好__
gongnengqiangda	功___能___强____大_
zhaopianxiaoguohenbang	照___片___效___果__很__棒___
feichangmanyideyicigouwu	非__常____满__意_的_一_次_购__物_
wuyousuozhi	物_有__所__值__
jiageguiyeshiyinweipingguocaiguide	价__格_贵__也_是__因__为__苹___果__才__贵__的_
buzhizhegejiaqian	不_值__这__个_价__钱___
yigeyinzhiwenti	一_个_音__质__问__题_
yigejietingdianhuadewenti	一_个_接__听___电___话__的_问__题_
tinggeshifenzhongerduojiuhuihentong	听___歌_十__分__钟____耳_朵__就__会__很__痛___
doushishashadeshengyin	都__是__沙__沙__的_声____音__
gangkaishidehewoyiqianmaideerqianheerqianduodeshoujiqubietaidale	刚___开__始__的_和_我_以_前___买__的_二_千___和_二_千___多__的_手___机_区_别__太__大_了_
vivodeshoujiyizhiyinlexiangjidoushihenhaode	vivo的_手___机_一_直__音__乐_相____机_都__是__很__好__的_
zheyikuanqueshibuzenmeyang	这__一_款___确__实__不_怎__么_样___
benlaixihuanmaivivojiushiyinlehepaizhaohao	本__来__喜_欢___买__vivo就__是__音__乐_和_拍__照___好__
jieguozhekuanliangyangxiaoguodoubuzenmeyang	结__果__这__款___两____样___效___果__都__不_怎__么_样___
haiyou	还__有__
kefuzhendechaozan	客_服_真___的_超___赞__
henmanyideyicigouwutiyan	很__满__意_的_一_次_购__物_体_验__
zhushengyixinglongge	祝__生____意_兴___隆___咯_
shoujishizhengpin	手___机_是__正____品__
tinghaoyongde	挺___好__用___的_
xingjiabikeyi	性___价__比_可_以_
henmanyi	很__满__意_
xiangsushenmede	像____素_什___么_的_
jianzhikeyishangtianvivodeshoujiyizhibijiaoshouqinglai	简___直__可_以_上____天___vivo的_手___机_一_直__比_较___受___青___睐__
zhiqianyizhiyeshiyongzhegepaizide	之__前___一_直__也_是__用___这__个_牌__子_的_
jiushibang	就__是__棒___
kefaxianyueyongyueshunshou	可_发_现___越__用___越__顺___手___
buguanshiyunxingneicunhejishenneicun	不_管___是__运__行___内__存__和_机_身___内__存__
haishipaizhaoxiaoguohewaibiaodoushiwoxiangyaode	还__是__拍__照___效___果__和_外__表___都__是__我_想____要__的_
yinzhifangmianyehaibucuo	音__质__方___面___也_还__不_错__
muqianxitonghenliuchangbingbuyayuwozhiqiandeshuiguoji	目_前___系_统___很__流__畅____并___不_亚_于_我_之__前___的_水___果__机_
xiwangbuhuichuxiananzhuojidetongbingyueyongyuekadexianxiang	希_望___不_会__出__现___安_卓___机_的_通___病___越__用___越__卡_的_现___象____
yaonengduideqizhejiage	要__能___对__得_起_这__价__格_
houxuyouwentizaizhuiping	后__续_有__问__题_再__追___评___
shiyonglechabuduoyizhoulecailaipingjia	使__用___了_差__不_多__一_周___了_才__来__评___价__
benlaidasuanzheruguoyongzhechuxianleshenmewentijiutuidiaode	本__来__打_算___着__如_果__用___着__出__现___了_什___么_问__题_就__退__掉___的_
gangmaidelimiankacaodetiepianchadiandiaochulai	刚___买__的_里_面___卡_槽__的_铁__片___差__点___掉___出__来__
haishiwozijiyongzhengeitachuohuiqude	还__是__我_自_己_用___针___给__它_戳___回__去_的_
dajiaqushoujism2kacaodeshihouzhuyile	大_家__取_手___机_sm2卡_槽__的_时__候__注__意_了_
chaping	差__评___
vivoqingdezuzhuangrenyuandoushilinshigongma	vivo请___的_组_装_____人__员___都__是__临__时__工___吗_
benlaidasuanmaigex9naihemeiqian	本__来__打_算___买__个_x9奈__何_没__钱___
shoukuaidideshihoujuranshenfenzhengshenmedoubuyao	收___快___递_的_时__候__居_然__身___份__证____什___么_都__不_要__
haodaiyeshi1500dedongxiba	好__歹__也_是__1500的_东___西_吧_
yiqianwozaimeizuguanwangmaideshoujidoubixuyaoshenfenzhengcainengqianshou	以_前___我_在__魅__族_官___网___买__的_手___机_都__必_须_要__身___份__证____才__能___签___收___
woxiangshuowanyisunhuailehuozhebierenmaolinglezenmeban	我_想____说___万__一_损__坏___了_或__者__别__人__冒__领___了_怎__么_办__
suisuibianlaigerendounengqianshoukuaidi	随__随__便___来__个_人__都__能___签___收___快___递_
maimeizushoujideshihouyeshishunfengkuaidi	买__魅__族_手___机_的_时__候__也_是__顺___丰___快___递_
renjiajiushiyaoshenfenzhengjiabenrencainengqianshou	人__家__就__是__要__身___份__证____加__本__人__才__能___签___收___
buranjiudengmingtianzailai	不_然__就__等___明___天___再__来__
tongyangshishunfengsongshouji	同___样___是__顺___丰___送___手___机_
chajuzenmezhemeda	差__距_怎__么_这__么_大_
zhenshimeiyouyongxinzuofuwu	真___是__没__有__用___心__做__服_务_
shizaimaizijidedongxi	是__在__卖__自_己_的_东___西_
sheilaichengdan	谁___来__承____担__
maizhiqianwojiukanlezhegeshoujidehenduopingjia	买__之__前___我_就__看__了_这__个_手___机_的_很__多__评___价__
sunhuaibugeihuandehaoxiangyeyou	损__坏___不_给__换___的_好__像____也_有__
maizhiqianwojiukanlehenduochaping	买__之__前___我_就__看__了_很__多__差__评___
womaidongxiyibaiyixiaconglaibugeichaping	我_买__东___西_一_百__一_下__从___来__不_给__差__评___
shenzhilandequpingjia	甚___至__懒__得_去_评___价__
daziwodouxianfan	打_字_我_都__嫌___烦__
tuihuogengfan	退__货__更___烦__
fanzhengwokacao2buzenmeyong	反__正____我_卡_槽__2不_怎__么_用___
yejiusuanlebushuole	也_就__算___了_不_说___了_
fanzhengchaping	反__正____差__评___
chapingchaping	差__评___差__评___
zheyangdefuwutaidu	这__样___的_服_务_态__度_
wohuaiyiwanyisunhuaihuozhelingjiandiaochulaileshibushibugeihuanle	我_怀___疑_万__一_损__坏___或__者__零___件___掉___出__来__了_是__不_是__不_给__换___了_
shunjianchaping	瞬___间___差__评___
tinghaodechanpinjiubeinimenzhexiedicengdedisuzhiyuangonggaohuaile	挺___好__的_产___品__就__被__你_们__这__些__底_层___的_低_素_质__员___工___搞__坏___了_
maishoujideshibushivivoguanfanga	卖__手___机_的_是__不_是__vivo官___方___啊
yitianjiushoudaohuole	一_天___就__收___到__货__了_
yonglejitiancailaipinglun	用___了_几_天___才__来__评___论__
yihoujiumaivivoshoujile	以_后__就__买__vivo手___机_了_
haoyongdemeideshuo	好__用___的_没__的_说___
feichangbucuo	非__常____不_错__
xiangjiyehenhao	相____机_也_很__好__
bunengyongkuozhanka	不_能___用___扩__展___卡_
128gyinggaishigouyongle	128g应___该__是__够__用___了_
lanyayinxianghezipaigan	蓝__牙_音__箱____和_自_拍__杆__
1yuanpaide50yuanyouhuiquan	1元___拍__的_50元___优__惠__券___
ganjuehenchaozhi	感__觉__很__超___值__
fahuokuai	发_货__快___
shunfengkuaidiyehengeili	顺___丰___快___递_也_很__给__力_
diertianjiushoudaole	第_二_天___就__收___到__了_
baozhuangwanhao	包__装_____完__好__
yiqianmaidex5yongleliangnianduo	以_前___买__的_x5用___了_两____年___多__
dianchichongbuledianle	电___池__充____不_了_电___了_
danyuanzhekuannenghaoxie	但__愿___这__款___能___好__些__
yongguanlex5	用___惯___了_x5
zhekuanhaishiyaocaozuoxiguanyixia	这__款___还__是__要__操__作__习_惯___一_下__
kawei2ge	卡_位__2个_
yiqiandeshoujikaxuyaojianka	以_前___的_手___机_卡_需_要__剪___卡_
bangpengyoumaide	帮___朋___友__买__的_
20tianle	20天___了_
xiangduilaishuohaishitingbucuode	相____对__来__说___还__是__挺___不_错__的_
paizhaopiantingqingxide	拍__照___片___挺___清___晰_的_
fuwutaiduyetinghaode	服_务_态__度_也_挺___好__的_
muqianshiyonghaibucuo	目_前___使__用___还__不_错__
gexianggongnengbijiaohao	各_项____功___能___比_较___好__
jiushishipinpaisheburuhuaweiqingxi	就__是__视__频__拍__摄__不_如_华__为__清___晰_
zheshoujifeichangfeichangfeichangfeichangfeichangfeichangfeichangfeichangfeichangfeichanghao	这__手___机_非__常____非__常____非__常____非__常____非__常____非__常____非__常____非__常____非__常____非__常____好__
yidiandoubuka	一_点___都__不_卡_
zipaiyehenqingxi	自_拍__也_很__清___晰_
bangbangda	棒___棒___哒_
shoujiwanhao	手___机_完__好__
duixiangshuoganjueyoudianhou	对__象____说___感__觉__有__点___厚__
kenengjiushipingmucaizhideyuanyin	可_能___就__是__屏___幕_材__质__的_原___因__
buguohaikeyi	不_过__还__可_以_
manyi	满__意_
jiushimeiyousongjiankaqi	就__是__没__有__送___剪___卡_器_
youyaozhaorenjiankacainengyong	又__要__找___人__剪___卡_才__能___用___
wuliubushibiedemaijiashuodenamekuai	物_流__不_是__别__的_买__家__说___的_那_么_快___
haiyoushuohaozhengdianxiadanjiasonglanyaerjideyemeisong	还__有__说___好__整____点___下__单__加__送___蓝__牙_耳_机_的_也_没__送___
shoujiyebuzhidaoshizhengpinhaishigaofangpinyoudaiyanzheng	手___机_也_不_知__道__是__正____品__还__是__高__仿___品__有__待__验__证____
meiyoukefugennigoutongde	没__有__客_服_跟__你_沟__通___的_
xiwangnenggougaijin	希_望___能___够__改__进__
haikeyi	还__可_以_
muqianmeishenme	目_前___没__什___么_
jiushizhiwenzhiyouyizuyouyong	就__是__指__纹__只__有__一_组_有__用___
dierzujingchangshiling	第_二_组_经___常____失__灵___
yongleliangtian	用___了_两____天___
shizhengpin	是__正____品__
zanshimeichuxianshenmemaobing	暂__时__没__出__现___什___么_毛__病___
dengdaijixuyongzaizhuiping	等___待__继_续_用___在__追___评___
paizhaoqueshishuang	拍__照___确__实__爽_____
haisongyidaduilipin	还__送___一_大_堆__礼_品__
haibucuo	还__不_错__
fanyingtingkuaide	反__应___挺___快___的_
erziyongle	儿_子_用___了_
bucuohenhaode	不_错__很__好__的_
shuoshizhengzongde	说___是__正____宗___的_
shoujipingmuhenda	手___机_屏___幕_很__大_
zhishi1youyixiegongnenghaibuhuiyong	只__是__1有__一_些__功___能___还__不_会__用___
jidaodeshihou	寄_到__的_时__候__
shoujidebaozhuanghebingmeiyouchai	手___机_的_包__装_____盒_并___没__有__拆___
tedeyongleyigexingqizailaipingjia	特_地_用___了_一_个_星___期_再__来__评___价__
shoujinengdadianhua	手___机_能___打_电___话__
meiyouwenti	没__有__问__题_
shiyongzhong	使__用___中____
dianjiayouzengsongzengpin	店___家__有__赠___送___赠___品__
xiexie	谢__谢__
zhiliangdouguoguan	质__量____都__过__关___
laobanyezhenshigoukeyile	老__板__也_真___是__够__可_以_了_
mingmianshangxieshunfengbaoyou	明___面___上____写__顺___丰___包__邮__
jieguofashunfengtehui	结__果__发_顺___丰___特_惠__
haozaishoujishimeishenmewenti	好__在__手___机_是__没__什___么_问__题_
yijinggeipengyoule	已_经___给__朋___友__了_
biputongkuaidihaiman	比_普_通___快___递_还__慢__
shoujishoudaonabaozhuangyezheshijiandandekeyi	手___机_收___到__那_包__装_____也_这__是__简___单__的_可_以_
yaohuangyixiadouguangguangde	摇__晃____一_下__都__咣____咣____的_
geipengyoumaidehaiwowanyitiangeirenjia	给__朋___友__买__的_害__我_晚__一_天___给__人__家__
laorenhenxihuan	老__人__很__喜_欢___
lianxiangzhengpin	联___想____正____品__
jizigongnengjiaojiandan	机_子_功___能___较___简___单__
xinlailianxiang	信__赖__联___想____
buxianshi	不_显___示__
tianmao	天___猫__
wobixu	我_必_须_
chaping	差__评___
woyongguo	我_用___过__
doubuxiang	都__不_像____
rongyaoliu	荣___耀__六__
danzhege	但__这__个_
kanzhe	看__着__
shoujihaikeyide	手___机_还__可_以_的_
zhendeshiluoji	真___的_是__裸__机_
jiushierjiyoudianlajile	就__是__耳_机_有__点___垃_圾_了_
yongleyitianjiuhuaileyige	用___了_一_天___就__坏___了_一_个_
shoujibucuo	手___机_不_错__
huamianhenqingxi	画__面___很__清___晰_
neizhidejianyuefenggedezhuomianyeshihegeilaorenshiyong	内__置__的_简___约__风___格_的_桌___面___也_适__合_给__老__人__使__用___
shouxianshizhaoxiangdeshihouyizhizaishan	首___先___是__照___相____的_时__候__一_直__在__闪___
youbunengtui	又__不_能___退__
qicijiushiqqzhuangzaineicunkashangyuyinyongbule	其_次_就__是__qq装_____在__内__存__卡_上____语_音__用___不_了_
neicunkayeshizaizhelimaide	内__存__卡_也_是__在__这__里_买__的_
humianpingbumingxian	弧_面___屏___不_明___显___
danshiduideqizhegejiagele	但__是__对__的_起_这__个_价__格_了_
xingjiabifeichanggao	性___价__比_非__常____高__
dajiabuyaonatahe2000duodevlvobijiao	大_家__不_要__拿_他_和_2000多__的_vlvo比_较___
zongtilaishuo	总___体_来__说___
ganjuebucuo	感__觉__不_错__
jueduizhengpin	绝__对__正____品__
neicunda	内__存__大_
yunxingkuai	运__行___快___
zhaoxiangqingchu	照___相____清___楚__
weiyidequediandianchirongliangxiaodian	唯__一_的_缺__点___电___池__容___量____小___点___
humianpingbumingxian	弧_面___屏___不_明___显___
danshiduideqizhegejiagele	但__是__对__的_起_这__个_价__格_了_
xingjiabifeichanggao	性___价__比_非__常____高__
dajiabuyaonatahe2000duodevlvobijiao	大_家__不_要__拿_他_和_2000多__的_vlvo比_较___
zongtilaishuo	总___体_来__说___
ganjuebucuo	感__觉__不_错__
jueduizhengpin	绝__对__正____品__
neicunda	内__存__大_
yunxingkuai	运__行___快___
zhaoxiangqingchu	照___相____清___楚__
weiyidequediandianchirongliangxiaodian	唯__一_的_缺__点___电___池__容___量____小___点___
shoujihenbucuotingpiaoliang	手___机_很__不_错__挺___漂___亮____
laomahenxihuan	老__妈_很__喜_欢___
shunfenghengeili	顺___丰___很__给__力_
haoping	好__评___
geihaizimaide	给__孩__子_买__的_
haizishuobucuo	孩__子_说___不_错__
baobeiyishoudaohenmanyi	宝__贝__已_收___到__很__满__意_
yongqilaiganjuehenbang	用___起_来__感__觉__很__棒___
wuliutaigeilile	物_流__太__给__力_了_
geizan	给__赞__
henhao	很__好__
xiwangdajiadouzhichimeizushouji	希_望___大_家__都__支__持__魅__族_手___机_
henzhide	很__值__得_
zuixihuanzaijingdongmaidongxi	最__喜_欢___在__京___东___买__东___西_
wuliuchaokuai	物_流__超___快___
meilanshoujibianyierqiehaokan	魅__蓝__手___机_便___宜_而_且__好__看__
henbangdeshouji	很__棒___的_手___机_
yunxingsuduhenkuai	运__行___速_度_很__快___
chongdianzhenshishanchong	充____电___真___是__闪___充____
shexiangtouxiangsuhaibucuo	摄__像____头__像____素_还__不_错__
waiguanyebucuo	外__观___也_不_错__
henxihuan	很__喜_欢___
taigeilile	太__给__力_了_
bangpengyoumaide	帮___朋___友__买__的_
guanzhuhenjiule	关___注__很__久__了_
zuotianwanshangqiangdejintianshangwujiudaole	昨__天___晚__上____抢____的_今__天___上____午_就__到__了_
shoujihenmeiguan	手___机_很__美__观___
jiushichakabufangbian	就__是__插__卡_不_方___便___
tuile	退__了_
neizhilebushaodianxindeyingyong	内__置__了_不_少___电___信__的_应___用___
danshikeyixiezai	但__是__可_以_卸__载__
5cunshouganbucuo	5寸__手___感__不_错__
jiushitfkahedierzhangsimbunenggongyong	就__是__tf卡_和_第_二_张____sim不_能___共___用___
zhegeshezhiyegouqipade	这__个_设__置__也_够__奇_葩_的_
benlaijiushiweileliangzhangkacaimaidianxinji	本__来__就__是__为__了_两____张____卡_才__买__电___信__机_
buguo16gchucunyemianqianggouyongle	不_过__16g储__存__也_勉___强____够__用___了_
zanshizhexie	暂__时__这__些__
yihouzaibuchong	以_后__再__补_充____
dianxinjixuanzeshao	电___信__机_选___择_少___
meibanfa	没__办__法_
diyicimaimeizudeshouji	第_一_次_买__魅__族_的_手___机_
xiwanggeiwoliuxiahaoyinxiangba	希_望___给__我_留__下__好__印__象____吧_
shoujishouganhenhaobucuo	手___机_手___感__很__好__不_错__
jingdongwuliuyehenkuai	京___东___物_流__也_很__快___
kuaidiyuanfuwutaiduyehenhao	快___递_员___服_务_态__度_也_很__好__
henxihuan	很__喜_欢___
zanzan	赞__赞__
feichangdebucuo	非__常____的_不_错__
yongzhehenyoushougan	用___着__很__有__手___感__
henhao	很__好__
gangdaoshou	刚___到__手___
shiwanleyixia	试__玩__了_一_下__
ganjuehenbucuo	感__觉__很__不_错__
xiwangnengzaishiyongzhonghouqibuyaochuwenti	希_望___能___在__使__用___中____后__期_不_要__出__问__题_
yizhizhichijingdong	一_直__支__持__京___东___
xiangxinjingdong	相____信__京___东___
tingbucuode	挺___不_错__的_
cai599	才__599
xingjiabihengao	性___价__比_很__高__
henmanyideyicigouwu	很__满__意_的_一_次_购__物_
kuaidichaogeilia	快___递_超___给__力_啊
sanhaozhongwuxiadan	三__号__中____午_下__单__
sihaoxiawudaoshoule	四_号__下__午_到__手___了_
zanyige	赞__一_个_
zhecishigeifumumaide	这__次_是__给__父_母_买__的_
tamenyehenxihuan	他_们__也_很__喜_欢___
zijicongmeizumx2jiukaishiyongzhegepaizi	自_己_从___魅__族_mx2就__开__始__用___这__个_牌__子_
zhiliangbucuo	质__量____不_错__
xingjiabiyegao	性___价__比_也_高__
henkuai	很__快___
songdedongxiyehenshiyong	送___的_东___西_也_很__实__用___
henxihuan	很__喜_欢___
zhegesudubixugei5gehaoping	这__个_速_度_必_须_给__5个_好__评___
shoujihaixing	手___机_还__行___
kuaiditaigeilile	快___递_太__给__力_了_
zuowanxiadedan	昨__晚__下__的_单__
jintianzaoshangjiudaohuole	今__天___早__上____就__到__货__了_
bucuodeshouji	不_错__的_手___机_
henhaoyong	很__好__用___
zhichixinlai	支__持__信__赖__
ganjuehenhao	感__觉__很__好__
wangluohenkuai	网___络__很__快___
shouganyeyekeyi	手___感__也_也_可_以_
diyicimaimeilanshouji	第_一_次_买__魅__蓝__手___机_
nadaoshouhaihao	拿_到__手___还__好__
feichangliuchang	非__常____流__畅____
zhenxinbucuo	真___心__不_错__
xiwangyizhihaoxiaqu	希_望___一_直__好__下__去_
zhengpinwuyi	正____品__无_疑_
baobeishoudao	宝__贝__收___到__
bangpengyoumaide	帮___朋___友__买__的_
henbucuo	很__不_错__
haoping	好__评___
ganjuehaikeyiba	感__觉__还__可_以_吧_
shenmeyangdejiawei	什___么_样___的_价__位__
shenmeyangdehuo	什___么_样___的_货__
tingmanyide	挺___满__意_的_
shoujibucuo	手___机_不_错__
waiguanyepiaoliang	外__观___也_漂___亮____
xiawudaode	下__午_到__的_
kuaidifuwukeyi	快___递_服_务_可_以_
yongliangtiancainengpingjiashoujizhiliang	用___两____天___才__能___评___价__手___机_质__量____
bucuo	不_错__
tingjiandandafangdeshouji	挺___简___单__大_方___的_手___机_
xihuan	喜_欢___
shenmeposhouji	什___么_破_手___机_
shoujichongdiankoudiaoyikuaiqi	手___机_充____电___口__掉___一_块___漆_
shuodesongbaohumo	说___的_送___保__护_膜_
kedaoshoushishenmedoumeiyou	可_到__手___时__什___么_都__没__有__
pianzi	骗___子_
bangtongshimaide	帮___同___事__买__的_
henhuasuan	很__划__算___
shoujihenpiaoliang	手___机_很__漂___亮____
haibucuo	还__不_错__
shoujitingbucuode	手___机_挺___不_错__的_
neicunhenzu	内__存__很__足_
yetingkuaide	也_挺___快___的_
yongyiduanshijiancainengzhidaodaodihaobuhao	用___一_段___时__间___才__能___知__道__到__底_好__不_好__
zuimanyidehaishijingdongdekuaidiya	最__满__意_的_还__是__京___东___的_快___递_呀_
zuotianxiadanjintiandao	昨__天___下__单__今__天___到__
kuaidixiaogexinkule	快___递_小___哥_辛__苦_了_
shoujishoudaole	手___机_收___到__了_
jiranmeiyoufapiao	既_然__没__有__发_票___
yongzhehaixingba	用___着__还__行___吧_
feichangmanyi	非__常____满__意_
zhiqianmailemeilannote	之__前___买__了_魅__蓝__note
xianzaibangrenmai2	现___在__帮___人__买__2
daoshoujuedehao	到__手___觉__得_好__
xianzaiyoumaiyitaizijiyong	现___在__又__买__一_台__自_己_用___
haha	哈_哈_
henhao	很__好__
wuliuyehenkuai	物_流__也_很__快___
sudukuai	速_度_快___
zuotianzaoshangmaide	昨__天___早__上____买__的_
xiawuxiabanqianshoudaohuo	下__午_下__班__前___收___到__货__
wuliutingkuaide	物_流__挺___快___的_
haimeizenmeshiyong	还__没__怎__么_使__用___
jutishiyonghouzaiping	具_体_使__用___后__再__评___
yinweizheshishanggenbenjiumeiyouwanmeideshiwu	因__为__这__世__上____根__本__就__没__有__完__美__的_事__物_
zongeryanzhihaishiwuyousuozhi	总___而_言__之__还__是__物_有__所__值__
tingbucuode	挺___不_错__的_
jiushizhiwenshibieshurubule	就__是__指__纹__识__别__输__入_不_了_
qiujieshi	求__解__释__
zanshihaimeifaxianwenti	暂__时__还__没__发_现___问__题_
disanbumeizushoujile	第_三__部_魅__族_手___机_了_
meizushoujiyizhihenbucuo	魅__族_手___机_一_直__很__不_错__
jiagehaihao	价__格_还__好__
busuantaigui	不_算___太__贵__
huiyizhizhichimeizude	会__一_直__支__持__魅__族_的_
zuotianxiawuxiadan	昨__天___下__午_下__单__
jintianshangwushoudao	今__天___上____午_收___到__
yongleyixiawu	用___了_一_下__午_
cailai	才__来__
yigezihao	一_个_字_好__
xianzaidemeizuyijingdaodayigexingaodule	现___在__的_魅__族_已_经___到__达_一_个_新__高__度_了_
zaijiezaili	再__接__再__厉_
lingwaijiushijingdongdepeisong	另___外__就__是__京___东___的_配__送___
haiyoufuwuyirujiwangdehao	还__有__服_务_一_如_既_往___的_好__
huiyizhizhichijingdong	会__一_直__支__持__京___东___
zhichimeizu	支__持__魅__族_
shoujibucuo	手___机_不_错__
zhuyiyaoyongnanoxiaoka	注__意_要__用___nano小___卡_
woqudianxinmianfeihuanle4gdika	我_去_电___信__免___费__换___了_4g的_卡_
yiyongshang	已_用___上____
maigeizhangbeiyongde	买__给__长____辈__用___的_
pingmuda	屏___幕_大_
peizhigao	配__置__高__
jiagehaisuanshihui	价__格_还__算___实__惠__
henhaodeyicigouwu	很__好__的_一_次_购__物_
diertianzhongwujiushoudaole	第_二_天___中____午_就__收___到__了_
shoujishizhengpinmeicuoa	手___机_是__正____品__没__错__啊
geilaorenmaide	给__老__人__买__的_
henhao	很__好__
henbucuo	很__不_错__
haixing	还__行___
maidediqigenote2le	买__的_第_七_个_note2了_
wo12yue3haoxiadedan	我_12月__3号__下__的_单__
zenmehuisongyige12yue1haojiuguoleqideyouhuiquan	怎__么_会__送___一_个_12月__1号__就__过__了_期_的_优__惠__券___
jingdongzenmegaode	京___东___怎__么_搞__的_
zerengantaichale	责_任__感__太__差__了_
yijingmailentai	已_经___买__了_n台__
zhiliangganggangde	质__量____杠___杠___的_
wuliuok	物_流__ok
zhenxinbucuo	真___心__不_错__
suishuoyongdebizhegejiaqiangui	虽__说___用___的_比_这__个_价__钱___贵__
bangpengyoumailege	帮___朋___友__买__了_个_
kandewoxindong	看__的_我_心__动___
zhaopianmeipai	照___片___没__拍__
zhegejiaweihaishimanbucuode	这__个_价__位__还__是__蛮__不_错__的_
zhiwenshibieyetingkuai	指__纹__识__别__也_挺___快___
zongzhihaoping	总___之__好__评___
0deping	0的_屏___
zhegeyoudiandabushiying	这__个_有__点___大_不_适__应___
shoujibucuodaizhiwenjiesuo	手___机_不_错__带__指__纹__解__锁__
fangbianshihui	方___便___实__惠__
meizushoujibucuo	魅__族_手___机_不_错__
zuogongjingxi	做__工___精___细_
jingdongshangchengfuwuzhoudao	京___东___商____城____服_务_周___到__
danshiwoganjuezhiliangshenmedehaishimx2zuijingdian	但__是__我_感__觉__质__量____什___么_的_还__是__mx2最__经___典___
